Category,Sub-Category,Description,Concrete Practice,Type,Page reference
Configuration Managment,Manage dependencies," If your system grows or you have components that several projects depend on, you may consider splitting out your components’ builds into separate pipelines. If you do so, it’s important to have binary dependencies between your pipelines rather than source dependencies",binary dependencies between your pipelines,best practice,39
Configuration Managment,Manage software configuration,"Configuration information can be injected into your application at several points (build time, packaging time, deployment time, startup time or run time). Bad practice to inject configuration information at build or packaging time.",inject configuration information at build or packaging time,anti-pattern,41
Configuration Managment,Manage software configuration,"Configuration can be supplied in the form of environment variables, as arguments to the command used to start the system, registry settings, a database, configuration files, or an external configuration service (accessed via SOAP or a REST-style interface, for example). Supply all configuration information for all the applications and environments in your organization through the same mechanism",supply all configuration through the same mechanism,best practice,42
Configuration Managment,testing,e.g. test whether references to external services in your configuration settings are good (e.g. through pinging),test configuration settings,best practice,46
Configuration Managment,Manage software configuration,"keep a catalogue of all the configuration options that each of your applications has, where they are stored, what their lifecycle is, and  how they can be changed. Should be generated automatically from each  application’s code as part of the build process",keep a catalogue of all configurations,best practice,47
Configuration Managment,Manage software configuration,,keep configuration options in the same place as the source code,best practice,48
Configuration Managment,Manage software configuration,,keep configuration values not in the same place as source code,best practice,48
Configuration Managment,Manage software configuration,Avoid obscure or cryptic names. without a manual—it should be possible to understand what the configuration properties are,clear naming conventions for your configuration options,best practice,48
Configuration Managment,Managing your environments,Changes in the configuration of environments are directly and manually performed rather than being made in version control and then propagated to production through an automated process. It should be possible to re-create every environment in a automated way (e.g. through virtualization).,Manual configuration of environments,anti-pattern,49
Configuration Managment,Managing your environments,,Automate creation of environments,best practice,50
Configuration Managment,Managing your environments,"In terms of software configuration, testing environments should be exact replicas of the production ones, so configuration problems can be found early.",configuration of testing environments same as the production/staging ones,best practice,50
Configuration Managment,Managing your environments,,Keep all configuration in one place,best practice,51
Configuration Managment,Managing your environments,A production environment should be completely locked down. It should not be possible for anybody to make a change to it without going through your organization’s change management process.,Change production environment directly,anti-pattern,53
Continuous Integration,testing,,Comprehensive automated test suite,best practice,60
Continuous Integration,duration,"Ideally, the compile and test process that you run prior to check-in and on your CI server should take no more than a few minutes. We think that ten minutes is about the limit, five minutes is better, and about ninety seconds is ideal",Keep build and test process short,best practice,60/61
Continuous Integration,testing,"First stage: to compile the software, run your suite of unit tests and create a deployable binary. Second stage: binaries from the first stage and run the acceptance tests, as well as integration tests, and performance tests",Split test process into multiple stages,best practice,61
Continuous Integration,testing,smoke test should perform a few simple acceptance and integration tests to make sure that the most commonly used functionality isn’t broken,incorporate smoke tests in commit stage,best practice,61
Continuous Integration,notification,"We’ve seen people use red and green lava lamps to show the status of the last build, or a CI system that sent the status to a Nabaztag wireless electronic rabbit. One developer we know, with some skill in electronics, created an extravagant tower of flashing lights and sirens which would explode into action to indicate the progress of various builds on a complex project. Another trick is to use text-to-speech to read out the name of the person who broke the build. Some continuous integration servers can display the status of the build, along with the avatars of the people who checked in—and this can be displayed on a big screen",Make build results well visible,best practice,63/64
Continuous Integration,check-in,refresh local copy of the project by updating from the version control system,Pull before check-in,best practice,67
Continuous Integration,check-in,"Many modern CI servers offer a feature variously known as pretested commit, personal build, or preflight build (wikipedia: gated commit, gated check-in). Using this facility, instead of checking in yourself, your CI server will take your local changes and run a build with them on the CI grid. If the build passes, the CI server will check your changes in for you. If the build fails, it will let you know what went wrong",Gated check-in,best practice,67
Continuous Integration,check-in,,Run local test suite before check-in,best practice,36/67
Continuous Integration,,"At the point of check-in, the developers who made it are responsible for monitoring the build’s progress. Until their check-in has compiled and passed its commit tests, the developers should not start any new task",Wait for Commit Tests to Pass before Moving On,best practice,68/69
Continuous Integration,,"Establish a team rule: When the build breaks on check-in, try to fix it for ten minutes. If, after ten minutes, you aren’t finished with the solution, revert to the previous version from your version control system",Time-Box Fixing before Reverting,best practice,70
Continuous Integration,,"It is your responsibility to fix all tests that are not passing as a result of your changes. This practice has several implications. It means that you need to have access to any code that you can break through your changes, so you can fix it if it breaks. It means that you can’t afford to have developers own a subset of the code that only they can work on",Everybody has access to the whole codebase,best practice,71
Continuous Integration,testing,the only way to get excellent unit test coverage is through test-driven development.,Test-driven development,best practice,71
Continuous Integration,,"For some projects failing the build on any warning may sound too draconian. One approach that we have used to introduce this practice gradually is ratcheting. This means comparing the number of things like warnings or TODOs with the number in the previous check-in. If the number increases, we fail the build. Using this approach, you can easily enforce a policy that every commit should reduce the number of warnings or TODOs at least by one",Fail build on compiler warnings,best practice,73/74
Continuous Integration,,"For some projects failing the build on any warning may sound too draconian. One approach that we have used to introduce this practice gradually is ratcheting. This means comparing the number of things like warnings or TODOs with the number in the previous check-in. If the number increases, we fail the build. Using this approach, you can easily enforce a policy that every commit should reduce the number of warnings or TODOs at least by one",Fail build on code style breaches,best practice,73/74
Testing,,Run unit tests before component and end2end tests,Run unit tests first,best practice,89
Testing,,"Having been caught short many times by bad performance just before release, we recommend that you set up at least some basic nonfunctional tests towards the start of any project, no matter how simple or inconsequential",Have non-functional tests,best practice,91
Testing,,start writing automated acceptance tests from the very beginning,Write tests from the beginning,best practice,92/93/94
Testing,,"The best way to introduce automated testing is to begin with the most common, important, and high-value use cases of the application",Write tests for most important use cases first,best practice,94
Testing,,"It is essential to ensure that you don’t hit a real external system unless you are in production, or you have some way of telling the service that you are sending it dummy transactions for testing purposes",Don’t hit a real external system,best practice,96/97
Testing,,"It is essential that your test harness replicates not only the expected responses to service calls, but also unexpected ones.",Test harness simulates all conditions of external service,best practice,97/98
Continuous Integration,,Several compilations are repeated during deployment stage.,Only Build Your Binaries Once,Anti-pattern,111-112
Continuous Integration,,You should make sure that every component of your infrastructure is up and running.,Smoke testing,Best-practice,117
Continuous Integration,,"Prior realising a change in the production environment, the change has to be tested in a similar environment",Simulate production environments,Best-practice,117
Configuration,,"It is vital that you have the correct versions of all libraries, components, environments, which means the same versions that are know to work with the version of the source code you are working from. simplest solution of all is to commit these libraries into your version control system along with your source code",Specify exact version of  external libraries/environment,best practice,38/62
Deployment,,"For many organizations, a “build script” is a printed document with a series of instructions. Steps for deployment are performed manually rather than automating the process by using a single script.",Manual deployment,anti-pattern,5/165
Deployment,,"During development, software is tested in a development environment only. Deployment to a staging/production environment happens after the development is finished rather than integrating them in the developing process.",Missing deployment,anti-pattern,7
VC,,"Don't check passwords into VC. Use environment variables for passwords, SSH keys and credentials (https://docs.gitlab.com/ee/ci/variables/)",Passwords in VC,anti-pattern,44
Build,,Jobs in same stages are executed in parallel,Run jobs in correct stages,best practice,https://docs.gitlab.com/ee/ci/pipelines.html
Build,,"Any artificats produced during the build (binaries, configuration, metadata, reports, ...) should be placed in the directory target/",Place build artifacts in target/,best practice,"https://maven.apache.org/guides/introduction/introduction-to-the-standard-directory-layout.html, 158/159"
Cleaning,,Remove generated output after/before build (e.g. with Maven's clean),Clean up artifacts,best practice,https://developer.mozilla.org/en-US/docs/Mozilla/Developer_guide/Build_Instructions/How_Mozilla_s_build_system_works/Makefiles_-_Best_practices_and_suggestions
Build,,"Executable code should be the same executable code that is deployed into every environment, whether it is a testing environment or a production environment. Thus, executable code should not be rebuilt for other environments.",Same executable code for all environments,best practice,13
Configuration,,Use relative paths rather than absolute ones.,Absolute paths,anti-pattern,
Deployment,,Using the same scripts to deploy to each environment and representing the differences between environments—such as service URIs and IP  addresses—as configuration information to be managed separately. It is  essential that both build and deployment scripts work on developers’  machines as well as on production-like environments,Same pipeline for every environment,best practice,115-116/153/154
Deployment,,You’ll need to ensure that any libraries your application depends on are packaged up along with your application’s binaries as part of your  deployment pipeline. Build tools such as Ivy and Maven have no place on production boxes.,Package libraries along with application,best practice,160
Configuration,,It’s essential to be able to determine from any given binary which revision in version control was used to generate it. JAR files can include metadata in their manifests ->  include the version control revision identifier,Build In Traceability from Binaries to Version Control,best practice,165/166
Build,,"In some build systems, the default behavior is that the build fails immediately when a task fails. instead, record the fact that the activity has failed, and continue with the rest of the build process. Then, at the end of the process, see if any of the individual tasks  failed and, if so, exit with a failure code.",Fail/Cancel build immediately when one task fails,anti-pattern,166/167
Security,,Use safe protocols such as https,Use safe protocols,best practice,
Build,,Retrying a job in case of a failure.,Retry jobs,anti-pattern,https://docs.gitlab.com/ee/ci/yaml/README.html#retry
Build,,"No failures should be ""tolerated"" in the process. Each step should be set in a way that it can break the build. ",Allow failures for jobs,anti-pattern,https://docs.gitlab.com/ee/ci/yaml/README.html#allow_failure
Configuration,,Don’t mix the caching with passing artifacts between stages. `cache` is used for temporary storage for project dependencies. `artifacts` are used for stage results that will be passed between stages.,Don't mix  'cache' and 'artifacts',anti-pattern,"https://docs.gitlab.com/ee/ci/caching/index.html
https://docs.gitlab.com/ee/user/project/pipelines/job_artifacts.html"
Testing,,"Automated test coverage includes unit, component, and acceptance tests, each of which should cover 80% of the application",Sufficient test coverage,best practice,87
Testing,,Developers comment out failing tests in order to get their changes checked in,Skip/Comment out tests,anti-pattern,70
VC,,Explain what the change is in the commit message -> do not drop it or don't write unhelpful/meaningless messages. One style we like is a multiparagraph commit message in which the first paragraph is a summary and the following paragraphs add more detail.,Descriptive commit messages,best practice,37
VC,,include a link to the identifier in your project management tool for the feature or bug you’re working on,Include link/ID of issue in commit message,best practice,38
VC,,"The cardinal sin of continuous integration is checking in on a broken build. If the build breaks, the developers responsible are waiting to fix it",Don’t Check In on a Broken Build,best practice,66
VC,,Commit changes to the version control system at the conclusion of each separate incremental change or refactoring,Introduce changes incrementally,best practice,37
VC,,Commit changes to the trunk in version control on a regular and frequent basis rather than using branching to defer integration,Branching,anti-pattern,36/59
VC,,Don't keep binary output of application’s compilation in version control,Binaries in VC,anti-pattern,35/166
VC,,The target directory is used to store all output of the build.,target/ directory in VC,anti-pattern,159
Build,,The build should be triggered whenever commits are pushed,Build on every push,best practice,55/56
Testing,,Unit tests should run fast.,Slow unit tests,anti-pattern,60/73
