ID,TYPE,SUBTYPE,RATING
FraME-projects__PyFraME__Job-Retry__codecov,Job-Retry,,TRUE
HiSchoolProject__BackSchool__Versioning__requirementstxt__djangorestframework__missing,Versioning,missing,TRUE
carmenbianca__pyparadox__Job-Allow-Failure__coverage,Job-Allow-Failure,,TRUE
cravacuore__rawRSS__Job-Allow-Failure__container_scanning,Job-Allow-Failure,,TRUE
barrel__barrel-wordpress__Manual-Job__create_merge_request,Manual-Job,,FALSE
paurosello__sparkpost_integration__Versioning__requirementstxt__python-slugify__missing,Versioning,missing,TRUE
picos-api__picos__Versioning__gitlabyaml__swiglpk__missing,Versioning,missing,TRUE
agrumery__aGrUM__Job-Retry__macos_pyagrum,Job-Retry,,TRUE
eightnoteight__rss_channel_bot__Versioning__requirementstxt__aiohttp__missing,Versioning,missing,TRUE
artem-sidorenko__chef-rkt__Job-Allow-Failure__kitchen-testing-packages,Job-Allow-Failure,,TRUE
jknix__sspyrs__Versioning__requirementstxt__openpyxl__any-upper-version,Versioning,any-upper-version,TRUE
naveenlj__alerta__Versioning__requirementstxt____missing,Versioning,missing,TRUE
junquera__toc-toc-ssh__Versioning__gitlabyaml__twine__missing,Versioning,missing,FALSE
elixire__elixire__Versioning__gitlabyaml__virtualenv__missing,Versioning,missing,TRUE
zelebez6969__sbpy3__Versioning__requirementstxt__youtube_dl__missing,Versioning,missing,TRUE
AnakiKaiver297__Requiem-Project__Versioning__requirementstxt__bs4__missing,Versioning,missing,TRUE
chamilotools__chamilotools__Versioning__requirementstxt__xlwt__missing,Versioning,missing,TRUE
v01d-gl__translator-text__Versioning__requirementstxt__flask__missing,Versioning,missing,TRUE
gitlab-examples__php__Job-Allow-Failure__test-php7-mysql,Job-Allow-Failure,,TRUE
bigapplepy__yak-bak__Versioning__requirementstxt__diff-match-patch__only-major-number,Versioning,only-major-number,TRUE
juergen-kosel-jk__wireshark__Job-Retry__gcc-6,Job-Retry,,TRUE
unylmz__CICD-tst__Versioning__com-sahabt-sample-jsf-1-0-0-SNAPSHOT__javax-inject-javax-inject__only-major-number,Versioning,only-major-number,TRUE
kimlab__uniparc_xml_parser__Job-Allow-Failure__test-pages,Job-Allow-Failure,,TRUE
ccis-irad__nifi-calrissian-processors__Versioning__com-keywcorp-ccis-irad-nifi-nifi-calrissian-processors-__org-slf4j-slf4j-simple__missing,Versioning,missing,TRUE
Dennovin__kqb__Versioning__requirementstxt__trueskill__missing,Versioning,missing,TRUE
masakura__issues__Job-Allow-Failure__firefox-branches,Job-Allow-Failure,,TRUE
gwasser__django-helpdesk__Versioning__requirementstxt__django-bootstrap-form__only-major-number,Versioning,only-major-number,TRUE
gpaw__gpaw__Versioning__gitlabyaml__ase__missing,Versioning,missing,TRUE
honeyryderchuck__httpx__Job-Allow-Failure__test_jruby,Job-Allow-Failure,,TRUE
unhangout__reunhangout__Versioning__requirementstxt__selenium__any-upper-version,Versioning,any-upper-version,TRUE
ColoradoSchoolOfMines__acm-officer-resources__Versioning__requirementstxt__sphinx_rtd_theme__missing,Versioning,missing,FALSE
mauriciobaeza__empresa-libre__Versioning__requirementstxt__falcon__missing,Versioning,missing,TRUE
eyeo__adblockplus__adblockpluscore__Job-Retry__docs,Job-Retry,,TRUE
subnetzero__iridium__Job-Allow-Failure__cargo-test,Job-Allow-Failure,,TRUE
neo0x3d__ffp_infoscreen__Versioning__requirementstxt__geopy__missing,Versioning,missing,TRUE
vitkin__sfdc-email-to-case-agent__Versioning__com-sforce-sfdc-email-to-case-agent-1-9__junit-junit__only-major-number,Versioning,only-major-number,FALSE
pgerber__zbase32-rust__Job-Allow-Failure__nightly,Job-Allow-Failure,,TRUE
Manu343726__tinyrefl__Job-Retry__conan-integration-gcc5,Job-Retry,,TRUE
pleasantone__intel-times__Versioning__requirementstxt__python-dateutil__missing,Versioning,missing,TRUE
